Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
861,23/04/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 "," R$  2,93 "," R$  22,32 ",PIX
860,22/04/2025,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Dinheiro
859,22/04/2025,521,0521 - KIT BORRACHA COM 6 PCS,1,AP BRAS OU MERCADO LIVRE," R$  10,00 ", R$  -   ," R$  32,00 ",PIX
858,22/04/2025,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Dinheiro
857,19/04/2025,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  4,00 ", R$  -   ," R$  13,50 ",Cartão de Débito
856,19/04/2025,512,0512 - BLOCO AGENDA PERSONAGENS ESPIRAL MED,1,AP BRAS OU MERCADO LIVRE," R$  12,00 ", R$  -   ," R$  34,00 ",PIX
855,19/04/2025,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Dinheiro
855,19/04/2025,361,0361 - BLOCO DE NOTAS PERSONAGENS ESPIRAL PEQ,1,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  18,00 ",Dinheiro
854,17/04/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",Cartão de Débito
853,16/04/2025,233,0233 - CANECA EMPILHADA DUPLA - ENTREGUE O SEU CAMINHO,1,BRASFOOT," R$  32,98 "," R$  6,55 "," R$  77,90 ",PIX
853,16/04/2025,348,0348 - NECESSAIRE MEDIA COM ALÇA,1,AP BRAS OU MERCADO LIVRE," R$  17,00 "," R$  6,55 "," R$  46,55 ",PIX
852,16/04/2025,518,0518 - CADERNO DISCO CAPA SIMPLES 15X21,1,AP BRAS OU MERCADO LIVRE," R$  15,00 "," R$  2,45 "," R$  46,55 ",Dinheiro
851,16/04/2025,557,0557 - GARRAFA TERMICA 500ML COM CANUDO,1,AP BRAS OU MERCADO LIVRE," R$  28,00 ", R$  -   ," R$  84,00 ",Cartão de Crédito
850,15/04/2025,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 "," R$  2,00 "," R$  11,41 ",Dinheiro
